iter	Logloss
466	0.05864496361
467	0.05862594855
468	0.05860316054
469	0.05857596982
470	0.05856538223
471	0.05854874189
472	0.05837117736
473	0.05834034784
474	0.05832085443
475	0.05830216215
476	0.05827762824
477	0.05824662174
478	0.0582180723
479	0.05819461088
480	0.05817492241
481	0.05808516524
482	0.05805696563
483	0.05803234537
484	0.05800732361
485	0.05797657
486	0.05789799284
487	0.05787481832
488	0.05779420555
489	0.05776128553
490	0.05769220579
491	0.05765609908
492	0.05763942233
493	0.05758645866
494	0.05755400468
495	0.05751157505
496	0.05742485718
497	0.05740922762
498	0.05738609434
499	0.05737309989
500	0.05735211066
501	0.05721952679
502	0.05720101015
503	0.0571832759
504	0.05714712876
505	0.05712703076
506	0.05711165007
507	0.05708750842
508	0.05706805223
509	0.05702192249
510	0.05696755137
511	0.05694375687
512	0.05692068397
513	0.05687380866
514	0.05684983195
515	0.05682958642
516	0.05679104153
517	0.05677929616
518	0.05676347368
519	0.05674161933
520	0.05671153632
521	0.05668730645
522	0.05666530363
523	0.05663618227
524	0.05662674442
525	0.0565934225
526	0.05657782882
527	0.05655585023
528	0.05653173763
529	0.05651985544
530	0.05649270195
531	0.0564767895
532	0.05643351551
533	0.05642504961
534	0.05639920156
535	0.05637302952
536	0.05634279965
537	0.05626142859
538	0.05625058475
539	0.05622864914
540	0.05621051446
541	0.05619370342
542	0.05617507968
543	0.05613092959
544	0.05610680682
545	0.05609493856
546	0.05607802618
547	0.05605200703
548	0.05603322919
549	0.05599054721
550	0.05597313225
551	0.05596231921
552	0.05593448856
553	0.05591240153
554	0.0558704196
555	0.05584703208
556	0.05583319782
557	0.05580024447
558	0.0557757704
559	0.05575850807
560	0.05574072615
561	0.05572868304
562	0.05570094637
563	0.05568489763
564	0.05566527517
565	0.05564673055
566	0.05561683791
567	0.05549704472
568	0.05547911862
569	0.05544926534
570	0.05541383378
571	0.05539507375
572	0.05537132838
573	0.0553485701
574	0.05531447263
575	0.05528951539
576	0.05526896662
577	0.05525015278
578	0.05522280784
579	0.05520079578
580	0.05508627832
581	0.05506485118
582	0.05497814482
583	0.05492165414
584	0.05491292879
585	0.05483293868
586	0.05480970058
587	0.05479644708
588	0.05477129063
589	0.05475504296
590	0.05474543789
591	0.05471578249
592	0.05469241519
593	0.05465761794
594	0.0546395348
595	0.05462659778
596	0.05459143719
597	0.05457405717
598	0.0545242865
599	0.05449500595
