iter	Logloss
0	0.6120841554
1	0.5534150911
2	0.5158606635
3	0.4809398178
4	0.4525044132
5	0.4222824448
6	0.3952646968
7	0.3717132058
8	0.3544187196
9	0.3379026869
10	0.3196482605
11	0.3081242438
12	0.2925063339
13	0.2811105047
14	0.2700457617
15	0.2599595979
16	0.2492814254
17	0.2358018492
18	0.2282188683
19	0.2182019482
20	0.2110212175
21	0.2049222066
22	0.1998369163
23	0.1926903973
24	0.1861857452
25	0.180566427
26	0.1753450895
27	0.1713536681
28	0.1677887336
29	0.1640467951
30	0.1617229705
31	0.1577701064
32	0.1542686198
33	0.1507545188
34	0.1481218692
35	0.1455674604
36	0.142726143
37	0.1407648129
38	0.1385130483
39	0.1373357965
40	0.1352392584
41	0.1340038303
42	0.1329438164
43	0.1307728857
44	0.129640498
45	0.1285197844
46	0.1276476461
47	0.1260396297
48	0.1252202429
49	0.1242713321
50	0.123460763
51	0.1224266293
52	0.1217796156
53	0.1210675207
54	0.1197859872
55	0.1190165878
56	0.1174620678
57	0.1167565993
58	0.1162404929
59	0.1157097328
60	0.1152429689
61	0.1147215909
62	0.1134528444
63	0.1129675406
64	0.1125963869
65	0.1117492237
66	0.1112893331
67	0.1099576217
68	0.1095445455
69	0.1090454378
70	0.108314819
71	0.1076986754
72	0.1072923295
73	0.1056247064
74	0.1048844794
75	0.1043860069
76	0.1040671683
77	0.1037312577
78	0.1033829778
79	0.10207529
80	0.1017968804
81	0.1014169277
82	0.1008790779
83	0.1004420826
84	0.1000078842
85	0.09974268783
86	0.09943680063
87	0.09917117369
88	0.0988102386
89	0.09856576061
90	0.09824145449
91	0.09793166716
92	0.09773773392
93	0.09745142875
94	0.09652400583
95	0.09575534109
96	0.09551676818
97	0.09531439635
98	0.09494596465
99	0.09467741917
100	0.09445932099
101	0.09426663871
102	0.09400790166
103	0.0932127002
104	0.09258529421
105	0.09192007738
106	0.09131618516
107	0.09088389856
108	0.09064504236
109	0.09040625471
110	0.09027884749
111	0.08932414295
112	0.08895378421
113	0.08884703113
114	0.08871917863
115	0.08852491124
116	0.08840693946
117	0.0882841853
118	0.08811823306
119	0.08799505049
120	0.08788343603
121	0.08777095806
122	0.08719022696
123	0.08681258634
124	0.08670052018
125	0.08644028878
126	0.08585457823
127	0.08573142672
128	0.08549810155
129	0.08536053917
130	0.0851832381
131	0.0850506616
132	0.08492353338
133	0.08464529676
134	0.08437481889
135	0.0842888423
136	0.08420326788
137	0.08404802238
138	0.08392736796
139	0.08380090512
140	0.08365238671
141	0.08354824129
142	0.08346652041
143	0.08297958142
144	0.08272950974
145	0.08260380599
146	0.08250937742
147	0.08193249344
148	0.08172583592
149	0.08147607885
150	0.08141494971
151	0.08102530936
152	0.08091520879
153	0.08085788285
154	0.08069517956
155	0.08059884912
156	0.08015923808
157	0.08003458955
158	0.07967749301
159	0.07943318263
160	0.07933140712
161	0.0790241573
162	0.07892409596
163	0.07882904166
164	0.07848862817
165	0.07821267577
166	0.07808179014
167	0.07794412413
168	0.07785330572
169	0.0777303727
170	0.0776075267
171	0.07749207932
172	0.07705529604
173	0.07697703322
174	0.07691757006
175	0.07685472889
176	0.07673842068
177	0.07661245666
178	0.07631728798
179	0.07611189775
180	0.07602798234
181	0.0759548133
182	0.07589490995
183	0.07556096651
184	0.0754544137
185	0.0753777617
186	0.07519830146
187	0.07510799874
188	0.075050853
189	0.0749606456
190	0.07489196147
191	0.07483082992
192	0.07476515617
193	0.07462521478
194	0.0745799772
195	0.07439452593
196	0.07435559908
197	0.07429393309
198	0.07423048841
199	0.07418090596
200	0.07412365312
201	0.07405532055
202	0.07396400411
203	0.07389159711
204	0.07380671617
205	0.07364441371
206	0.07357115444
207	0.07327780729
208	0.07320044654
209	0.07310468001
210	0.07276749619
211	0.0726706514
212	0.07261510951
213	0.07241039376
214	0.07236925043
215	0.07227713019
216	0.07223204095
217	0.07219753796
218	0.07187920521
219	0.07182442
220	0.07168062132
221	0.07162725121
222	0.07154359713
223	0.07147002833
224	0.07138772133
225	0.07134522209
226	0.07127904951
227	0.07120755877
228	0.07112200523
229	0.07106975219
230	0.07100683605
231	0.0709365328
232	0.07086711101
233	0.07083183206
234	0.07077215175
235	0.07073366054
236	0.07068348047
237	0.07065580016
238	0.07051965876
239	0.07040790105
240	0.07036728172
241	0.07009891029
242	0.07002967271
243	0.06996138137
244	0.06989362743
245	0.0698486651
246	0.06960151919
247	0.06938856219
248	0.06932964872
249	0.06929202264
250	0.06923738871
251	0.06919638489
252	0.06915545497
253	0.06912191724
254	0.06907095264
255	0.0690419357
256	0.06900870401
257	0.06896849274
258	0.06892311192
259	0.06880925903
260	0.06876063033
261	0.06872035158
262	0.0685618807
263	0.0685108173
264	0.06832303735
265	0.06826027223
266	0.06821610059
267	0.06815655174
268	0.06810721054
269	0.06807220444
270	0.0680259087
271	0.06796604872
272	0.06792689723
273	0.06785860134
274	0.06782232689
275	0.06777523618
276	0.06765563082
277	0.06753939142
278	0.06750093261
279	0.06746706555
280	0.06726134196
281	0.06720969378
282	0.06715994559
283	0.06712802163
284	0.06689169251
285	0.06682740626
286	0.06677906727
287	0.06657853359
288	0.06651441389
289	0.0663634814
290	0.0662697648
291	0.06615369703
292	0.06612868705
293	0.06592957997
294	0.0658778761
295	0.06582306251
296	0.06575972359
297	0.06567613002
298	0.06562836055
299	0.06560164657
300	0.06555309579
301	0.06551240256
302	0.06546787587
303	0.06541211524
304	0.06536361774
305	0.06534724475
306	0.06514410072
307	0.0651126804
308	0.06501169317
309	0.06496903729
310	0.06492798393
311	0.06475991829
312	0.06473422232
313	0.06469166311
314	0.06462823288
315	0.06460491699
316	0.06456421251
317	0.06451965798
318	0.06448283329
319	0.06445828813
320	0.06442192612
321	0.06439793522
322	0.06436448397
323	0.06430082321
324	0.06405549549
325	0.06402122143
326	0.06398016298
327	0.06395229726
328	0.06381247368
329	0.06377704426
330	0.06374479484
331	0.06369283191
332	0.06366591605
333	0.06362031218
334	0.06359405446
335	0.06356321156
336	0.06351469036
337	0.06348719534
338	0.06344308167
339	0.06339676906
340	0.06334818855
341	0.06331068724
342	0.06327134939
343	0.06322942248
344	0.06318776278
345	0.06317057475
346	0.06315262776
347	0.06313577161
348	0.06309738764
349	0.06306332056
350	0.06301820535
351	0.06298794053
352	0.06295509642
353	0.06291890136
354	0.06289849704
355	0.06285791493
356	0.06281342506
357	0.06279349588
358	0.06275648068
359	0.06260858895
360	0.0625796834
361	0.06254216481
362	0.06250910878
363	0.06246471704
364	0.06243711318
365	0.06230513163
366	0.0622870778
367	0.06225274846
368	0.06222496466
369	0.06218809097
370	0.06213990527
371	0.06211176121
372	0.06204732409
373	0.06202419348
374	0.06200186307
375	0.06196342515
376	0.06194011207
377	0.06190521535
378	0.06185777013
379	0.06184187602
380	0.06181891879
381	0.06180074809
382	0.06176858984
383	0.0617558021
384	0.06172621792
385	0.06169242663
386	0.06164170287
387	0.061621162
388	0.06159862702
389	0.06155684322
390	0.06153554648
391	0.06151018574
392	0.0614816537
393	0.06144279099
394	0.06142006523
395	0.06138625466
396	0.06136880355
397	0.06134254276
398	0.06130788367
399	0.06128215932
400	0.06125921427
401	0.06121255585
402	0.06117779809
403	0.06113905372
404	0.0610979681
405	0.06105935613
406	0.06103058151
407	0.06099321649
408	0.06097292088
409	0.06072712834
410	0.06069638169
411	0.06066672575
412	0.06064526407
413	0.0606188066
414	0.060583201
415	0.0605524004
416	0.06051339189
417	0.06048748373
418	0.06045662597
419	0.06043677778
420	0.06039330645
421	0.06028129304
422	0.06025349733
423	0.06022402963
424	0.06020472016
425	0.06016109822
426	0.06012893033
427	0.06003441167
428	0.06000822611
429	0.05997831018
430	0.05988924583
431	0.05986573448
432	0.05968559133
433	0.05964605186
434	0.05960971635
435	0.05959452524
436	0.05958291335
437	0.05946505121
438	0.05943376745
439	0.05940405595
440	0.05937414672
441	0.05935089402
442	0.05931888116
443	0.05930867284
444	0.05925929576
445	0.05919116749
446	0.05917279638
447	0.05914039113
448	0.05912146803
449	0.05902410313
450	0.05900275056
451	0.05897810299
452	0.05895610352
453	0.05893838533
454	0.05891592103
455	0.0588960711
456	0.058861457
457	0.05883721494
458	0.0588148698
459	0.05879779302
460	0.0587786671
461	0.05875800722
462	0.0587276203
463	0.05870829504
464	0.05869268342
465	0.05866963421
